Order Number,Shipper Name,Created At,Delivered At,Billing Type,Amount,Currency,Country,AWB
391303,Aramex,2023-06-06,2024-01-03,cash,29.725,USD,LB,8596259704
391304,Aramex,2023-06-06,2024-01-03,cash,10.84,USD,LB,8596259705
391305,Aramex,2023-06-06,2024-01-03,cash,5.155,USD,LB,8596259706
391306,Aramex,2023-06-06,2024-01-03,cash,18.46,USD,LB,8596259707
391307,Aramex,2023-06-06,2024-01-03,cash,6.155,USD,LB,8596259708
391308,Aramex,2023-06-06,2024-01-03,cash,18.685,USD,LB,8596259709
391309,Aramex,2023-06-06,2024-01-03,cash,9.805,USD,LB,8596259710
391310,Aramex,2023-06-06,2024-01-03,cash,13.72,USD,LB,8596259711
391311,Aramex,2023-06-06,2024-01-03,cash,12.11,USD,LB,8596259712
391312,Aramex,2023-06-06,2024-01-03,cash,5.96,USD,LB,8596259713
391313,Aramex,2023-06-06,2024-01-03,cash,8.1,USD,LB,8596259714
391314,Aramex,2023-06-06,2024-01-03,cash,10.1,USD,LB,8596259715
391315,Aramex,2023-06-06,2024-01-03,cash,9.475,USD,LB,8596259716
391316,Aramex,2023-06-06,2024-01-03,cash,4.555,USD,LB,8596259717
391317,Aramex,2023-06-06,2024-01-03,cash,13.4,USD,LB,8596259718
391318,Aramex,2023-06-06,2024-01-03,cash,9.73,USD,LB,8596259719
391319,Aramex,2023-06-06,2024-01-03,cash,17.76,USD,LB,8596259720
391320,Aramex,2023-06-06,2024-01-03,cash,5.88,USD,LB,8596259721
391321,Aramex,2023-06-06,2024-01-03,cash,3.22,USD,LB,8596259722
391322,Aramex,2023-06-06,2024-01-03,cash,6.515,USD,LB,8596259723
391323,Aramex,2023-06-06,2024-01-03,cash,9.895,USD,LB,8596259724
391324,Aramex,2023-06-06,2024-01-03,cash,17.83,USD,LB,8596259725
391325,Aramex,2023-06-06,2024-01-03,cash,10.015,USD,LB,8596259726
391326,Aramex,2023-06-06,2024-01-03,cash,14.87,USD,LB,8596259727
391327,Aramex,2023-06-06,2024-01-03,cash,6.455,USD,LB,8596259728
391328,Aramex,2023-06-06,2024-01-03,cash,12.125,USD,LB,8596259729
391329,Aramex,2023-06-06,2024-01-03,cash,11.11,USD,LB,8596259730
391330,Aramex,2023-06-06,2024-01-03,cash,5.4,USD,LB,8596259731
391331,Aramex,2023-06-06,2024-01-03,cash,13.315,USD,LB,8596259732
391332,Aramex,2023-06-06,2024-01-03,cash,8.805,USD,LB,8596259733
391333,Aramex,2023-06-06,2024-01-03,cash,13.38,USD,LB,8596259734
391334,Aramex,2023-06-06,2024-01-03,cash,4.9,USD,LB,8596259735
391335,Aramex,2023-06-06,2024-01-03,cash,6.63,USD,LB,8596259736
391336,Aramex,2023-06-06,2024-01-03,cash,6.415,USD,LB,8596259737
391337,Aramex,2023-06-06,2024-01-03,cash,6.995,USD,LB,8596259738
391338,Aramex,2023-06-06,2024-01-03,cash,4.555,USD,LB,8596259739
391339,Aramex,2023-06-06,2024-01-03,cash,6.605,USD,LB,8596259740
391340,Aramex,2023-06-06,2024-01-03,cash,5.285,USD,LB,8596259741
391341,Aramex,2023-06-06,2024-01-03,cash,5.28,USD,LB,8596259742
391342,Aramex,2023-06-06,2024-01-03,cash,6.04,USD,LB,8596259743
391343,Aramex,2023-06-07,2024-01-03,cash,6.5,USD,LB,8596259744
391344,Aramex,2023-06-07,2024-01-03,cash,18.695,USD,LB,8596259745
391345,Aramex,2023-06-07,2024-01-03,cash,5.78,USD,LB,8596259746
391346,Aramex,2023-06-07,2024-01-03,cash,11.27,USD,LB,8596259747
391347,Aramex,2023-06-07,2024-01-03,cash,5.42,USD,LB,8596259748
391348,Aramex,2023-06-07,2024-01-03,cash,5.04,USD,LB,8596259749
391349,Aramex,2023-06-07,2024-01-03,cash,19.73,USD,LB,8596259750
391350,Aramex,2023-06-07,2024-01-03,cash,16.535,USD,LB,8596259751
391351,Aramex,2023-06-07,2024-01-03,cash,6.685,USD,LB,8596259752
391352,Aramex,2023-06-07,2024-01-03,cash,18.58,USD,LB,8596259753
391353,Aramex,2023-06-07,2024-01-03,cash,39.575,USD,LB,8596259754
391354,Aramex,2023-06-07,2024-01-03,cash,6.32,USD,LB,8596259755
391355,Aramex,2023-06-07,2024-01-03,cash,7.61,USD,LB,8596259756
391356,Aramex,2023-06-07,2024-01-03,cash,5.1,USD,LB,8596259757
391357,Aramex,2023-06-07,2024-01-03,cash,10.3,USD,LB,8596259758
391358,Aramex,2023-06-07,2024-01-03,cash,4.32,USD,LB,8596259759
391359,Aramex,2023-06-07,2024-01-03,cash,13.53,USD,LB,8596259760
391360,Aramex,2023-06-07,2024-01-03,cash,7.195,USD,LB,8596259761
391361,Aramex,2023-06-07,2024-01-03,cash,6.045,USD,LB,8596259762
391362,Aramex,2023-06-07,2024-01-03,cash,5.525,USD,LB,8596259763
391363,Aramex,2023-06-07,2024-01-03,cash,6.49,USD,LB,8596259764
391364,Aramex,2023-06-07,2024-01-03,cash,14.83,USD,LB,8596259765
391365,Aramex,2023-06-07,2024-01-03,cash,9.49,USD,LB,8596259766
391366,Aramex,2023-06-08,2024-01-03,cash,8.395,USD,LB,8596259767
391367,Aramex,2023-06-08,2024-01-03,cash,6.64,USD,LB,8596259768
391368,Aramex,2023-06-08,2024-01-03,cash,11.78,USD,LB,8596259769
391369,Aramex,2023-06-08,2024-01-03,cash,5.19,USD,LB,8596259770
391370,Cosmaline,2023-07-20,2024-01-31,cash,41.575,USD,LB,8596259771
391371,Cosmaline,2023-08-10,2024-01-31,cash,0.0,USD,LB,8596259772
391372,Cosmaline,2023-08-17,2024-01-31,cash,33.36,USD,LB,8596259773
391373,Cosmaline,2023-08-17,2024-01-31,cash,27.31,USD,LB,8596259774
391374,Cosmaline,2023-08-17,2024-01-31,cybersource,24.91,USD,LB,8596259775
391375,Cosmaline,2023-08-17,2024-01-31,cash,21.86,USD,LB,8596259776
391376,Cosmaline,2023-08-18,2023-12-07,cash,16.18,USD,LB,8596259777
391377,Cosmaline,2023-08-19,2024-01-31,cash,28.665,USD,LB,8596259778
391378,Cosmaline,2023-08-20,2024-01-31,cash,37.535,USD,LB,8596259779
391379,Cosmaline,2023-08-21,2023-12-07,cybersource,10.06,USD,LB,8596259780
391380,Aramex,2023-08-25,2023-12-07,cash,8.195,USD,LB,8596259781
391381,Aramex,2023-08-28,2023-12-07,cash,12.755,USD,LB,8596259782
391382,Cosmaline,2023-08-30,2024-01-31,cash,0.0,USD,LB,8596259783
391383,Cosmaline,2023-09-03,2024-01-31,cash,47.29,USD,LB,8596259784
391384,Aramex,2023-09-05,2023-12-07,cash,15.17,USD,LB,8596259785
391385,Aramex,2023-09-06,2023-12-07,cash,21.245,USD,LB,8596259786
391386,Cosmaline,2023-09-12,2023-12-07,cash,33.255,USD,LB,8596259787
391387,Cosmaline,2023-09-20,2024-01-31,cash,0.0,USD,LB,8596259788
391388,Cosmaline,2023-09-28,2024-01-31,cash,25.365,USD,LB,8596259789
391389,Cosmaline,2023-10-05,2024-01-31,cybersource,11.03,USD,LB,8596259790
391390,Cosmaline,2023-10-18,2024-01-31,cash,0.0,USD,LB,8596259791
391391,Cosmaline,2023-10-18,2024-01-31,cash,53.51,USD,LB,8596259792
391392,Cosmaline,2023-10-18,2024-02-01,cash,45.3,USD,LB,8596259793
391393,Cosmaline,2023-10-19,2024-01-31,cash,0.0,USD,LB,8596259794
391394,Cosmaline,2023-10-20,2024-01-31,cash,0.0,USD,LB,8596259795
391395,Cosmaline,2023-10-21,2024-02-01,cash,26.3,USD,LB,8596259796
391396,Cosmaline,2023-10-21,2024-02-01,cash,20.615,USD,LB,8596259797
391397,Cosmaline,2023-10-22,2024-02-05,cash,35.89,USD,LB,8596259798
391398,Cosmaline,2023-10-22,2024-01-31,cash,0.0,USD,LB,8596259799
391399,Cosmaline,2023-10-22,2024-02-05,cash,19.92,USD,LB,8596259800
391400,Cosmaline,2023-10-22,2024-02-05,cash,37.155,USD,LB,8596259801
391401,Cosmaline,2023-10-23,2024-02-05,cash,17.25,USD,LB,8596259802
391402,Cosmaline,2023-10-23,2024-02-05,cash,32.015,USD,LB,8596259803
391403,Cosmaline,2023-10-29,2023-12-05,cash,6.26,USD,LB,8596259804
391404,Cosmaline,2023-10-30,2024-02-01,cash,23.405,USD,LB,8596259805
391405,Cosmaline,2023-11-01,2024-01-31,cash,25.02,USD,LB,8596259806
391406,Cosmaline,2023-11-01,2024-02-05,cash,17.475,USD,LB,8596259807
391407,Cosmaline,2023-11-02,2023-12-05,cash,10.09,USD,LB,8596259808
391408,Cosmaline,2023-11-02,2023-12-05,cash,23.73,USD,LB,8596259809
391409,Cosmaline,2023-11-02,2024-01-31,cash,63.195,USD,LB,8596259810
391410,Cosmaline,2023-11-02,2024-02-05,cash,49.25,USD,LB,8596259811
391411,Cosmaline,2023-11-02,2023-12-05,cash,5.375,USD,LB,8596259812
391412,Cosmaline,2023-11-02,2023-12-05,cash,5.02,USD,LB,8596259813
391413,Cosmaline,2023-11-02,2024-02-06,cash,21.58,USD,LB,8596259814
391414,Cosmaline,2023-11-02,2023-12-05,cash,14.695,USD,LB,8596259815
391415,Cosmaline,2023-11-02,2024-02-06,cash,27.635,USD,LB,8596259816
391416,Cosmaline,2023-11-03,2024-02-06,cash,13.77,USD,LB,8596259817
391417,Cosmaline,2023-11-03,2024-01-31,cash,0.0,USD,LB,8596259818
391418,Cosmaline,2023-11-03,2024-02-06,cash,27.88,USD,LB,8596259819
391419,Cosmaline,2023-11-03,2024-02-06,cash,12.515,USD,LB,8596259820
391420,Cosmaline,2023-11-03,2024-02-06,cash,9.4,USD,LB,8596259821
391421,Cosmaline,2023-11-03,2024-02-06,cash,15.74,USD,LB,8596259822
391422,Cosmaline,2023-11-03,2024-02-06,cash,21.95,USD,LB,8596259823
391423,Cosmaline,2023-11-03,2024-02-06,cash,32.36,USD,LB,8596259824
391424,Cosmaline,2023-11-04,2024-02-06,cash,29.04,USD,LB,8596259825
391425,Cosmaline,2023-11-04,2024-02-06,cash,24.3,USD,LB,8596259826
391426,Cosmaline,2023-11-04,2023-12-05,cash,7.58,USD,LB,8596259827
391427,Cosmaline,2023-11-04,2024-02-06,cash,37.745,USD,LB,8596259828
391428,Cosmaline,2023-11-04,2024-02-06,cash,49.215,USD,LB,8596259829
391429,Cosmaline,2023-11-04,2023-12-05,cash,5.62,USD,LB,8596259830
391430,Cosmaline,2023-11-04,2024-02-06,cash,24.845,USD,LB,8596259831
391431,Cosmaline,2023-11-04,2024-02-06,cash,22.91,USD,LB,8596259832
391432,Cosmaline,2023-11-04,2024-02-06,cash,14.055,USD,LB,8596259833
391433,Cosmaline,2023-11-04,2024-02-06,cash,24.42,USD,LB,8596259834
391434,Cosmaline,2023-11-04,2024-02-06,cash,25.76,USD,LB,8596259835
391435,Cosmaline,2023-11-04,2024-02-06,cash,25.295,USD,LB,8596259836
391436,Cosmaline,2023-11-05,2024-02-06,cash,19.695,USD,LB,8596259837
391437,Cosmaline,2023-11-05,2024-02-06,cash,29.775,USD,LB,8596259838
391438,Cosmaline,2023-11-05,2024-02-06,cash,18.375,USD,LB,8596259839
391439,Cosmaline,2023-11-05,2024-01-31,cash,4.595,USD,LB,8596259840
391440,Cosmaline,2023-11-06,2024-02-06,cash,22.155,USD,LB,8596259841
391441,Cosmaline,2023-11-06,2024-02-06,cash,10.755,USD,LB,8596259842
391442,Cosmaline,2023-11-07,2023-12-05,cash,7.125,USD,LB,8596259843
391443,Cosmaline,2023-11-07,2023-12-05,cash,7.58,USD,LB,8596259844
391444,Cosmaline,2023-11-07,2024-02-06,cash,21.79,USD,LB,8596259845
391445,Cosmaline,2023-11-07,2023-12-05,cybersource,52.97,USD,LB,8596259846
391446,Cosmaline,2023-11-09,2023-12-05,cash,14.85,USD,LB,8596259847
391447,Cosmaline,2023-11-09,2024-02-06,cash,29.965,USD,LB,8596259848
391448,Cosmaline,2023-11-09,2024-02-06,cash,25.83,USD,LB,8596259849
391449,Cosmaline,2023-11-09,2024-02-06,cash,5.15,USD,LB,8596259850
391450,Cosmaline,2023-11-09,2023-12-07,cash,0.0,USD,LB,8596259851
391451,Cosmaline,2023-11-09,2024-02-06,cash,22.905,USD,LB,8596259852
391452,Cosmaline,2023-11-10,2024-02-06,cash,34.89,USD,LB,8596259853
391453,Cosmaline,2023-11-11,2024-02-27,cash,12.415,USD,LB,8596259854
391454,Cosmaline,2023-11-12,2024-02-06,cash,22.095,USD,LB,8596259855
391455,Cosmaline,2023-11-12,2024-02-06,cash,34.23,USD,LB,8596259856
391456,Cosmaline,2023-11-12,2024-02-06,cash,41.0,USD,LB,8596259857
391457,Cosmaline,2023-11-12,2024-02-06,cash,24.955,USD,LB,8596259858
391458,Cosmaline,2023-11-13,2024-02-06,cash,15.085,USD,LB,8596259859
391459,Cosmaline,2023-11-14,2024-02-06,cash,10.57,USD,LB,8596259860
391460,Cosmaline,2023-11-14,2024-02-06,cash,19.295,USD,LB,8596259861
391461,Cosmaline,2023-11-14,2023-12-05,cash,0.76,USD,LB,8596259862
391462,Cosmaline,2023-11-14,2024-01-31,cash,0.0,USD,LB,8596259863
391463,Cosmaline,2023-11-14,2024-02-06,cash,19.13,USD,LB,8596259864
391464,Cosmaline,2023-11-14,2024-01-31,cash,0.0,USD,LB,8596259865
391465,Cosmaline,2023-11-14,2024-01-31,cash,0.0,USD,LB,8596259866
391466,Cosmaline,2023-11-14,2024-01-31,cash,0.0,USD,LB,8596259867
391467,Cosmaline,2023-11-14,2024-01-31,cash,0.0,USD,LB,8596259868
391468,Cosmaline,2023-11-17,2023-12-04,cash,23.61,USD,LB,8596259869
391469,Cosmaline,2023-11-17,2023-12-04,cash,26.58,USD,LB,8596259870
391470,Cosmaline,2023-11-18,2023-12-04,cash,6.41,USD,LB,8596259871
391471,Cosmaline,2023-11-18,2023-12-04,cash,21.0,USD,LB,8596259872
391472,Aramex,2023-11-19,2024-01-31,cybersource,40.15,USD,LB,8596259873
391473,Cosmaline,2023-11-19,2024-02-06,cash,24.915,USD,LB,8596259874
391474,Cosmaline,2023-11-19,2023-12-04,cash,33.385,USD,LB,8596259875
391475,Cosmaline,2023-11-20,2023-12-04,cash,14.71,USD,LB,8596259876
391476,Cosmaline,2023-11-20,2023-12-04,cash,7.755,USD,LB,8596259877
391477,Cosmaline,2023-11-20,2023-12-04,cash,22.36,USD,LB,8596259878
391478,Cosmaline,2023-11-20,2023-12-04,cash,3.72,USD,LB,8596259879
391479,Cosmaline,2023-11-20,2023-12-04,cash,7.36,USD,LB,8596259880
391480,Cosmaline,2023-11-21,2023-12-04,cash,9.345,USD,LB,8596259881
391481,Aramex,2023-11-21,2023-12-02,cash,11.585,USD,LB,8596259882
391482,Aramex,2023-11-21,2023-12-01,cash,5.4,USD,LB,8596259883
391483,Aramex,2023-11-21,2023-12-02,cash,15.29,USD,LB,8596259884
391484,Aramex,2023-11-22,2023-12-01,cash,9.11,USD,LB,8596259885
391485,Cosmaline,2023-11-22,2023-12-05,cash,21.74,USD,LB,8596259886
391486,Aramex,2023-11-22,2023-12-12,cash,21.775,USD,LB,8596259887
391487,Aramex,2023-11-22,2023-12-08,cash,22.335,USD,LB,8596259888
391488,Aramex,2023-11-22,2023-12-01,cash,9.235,USD,LB,8596259889
391489,Aramex,2023-11-23,2023-12-01,cash,2.9,USD,LB,8596259890
391490,Aramex,2023-11-23,2023-12-06,cash,12.365,USD,LB,8596259891
391491,Cosmaline,2023-11-23,2023-12-04,cash,10.23,USD,LB,8596259892
391492,Aramex,2023-11-23,2023-12-04,cash,10.185,USD,LB,8596259893
391493,Aramex,2023-11-23,2023-12-02,cash,10.55,USD,LB,8596259894
391494,Aramex,2023-11-23,2023-12-04,cash,4.655,USD,LB,8596259895
391495,Aramex,2023-11-23,2023-12-04,cash,7.09,USD,LB,8596259896
391496,Aramex,2023-11-23,2023-12-01,cash,5.46,USD,LB,8596259897
391497,Aramex,2023-11-23,2023-12-01,cash,5.26,USD,LB,8596259898
391498,Aramex,2023-11-23,2023-12-07,cash,2.455,USD,LB,8596259899
391499,Aramex,2023-11-23,2023-12-01,cash,4.09,USD,LB,8596259900
391500,Aramex,2023-11-24,2023-12-02,cash,2.865,USD,LB,8596259901
391501,Cosmaline,2023-11-24,2023-12-28,cash,11.63,USD,LB,8596259902
391502,Aramex,2023-11-24,2023-12-01,cash,19.93,USD,LB,8596259903
391503,Cosmaline,2023-11-24,2023-12-28,cash,11.205,USD,LB,8596259904
391504,Aramex,2023-11-24,2023-12-04,cash,3.825,USD,LB,8596259905
391505,Aramex,2023-11-24,2023-12-01,cash,10.465,USD,LB,8596259906
391506,Aramex,2023-11-24,2023-12-01,cash,10.615,USD,LB,8596259907
391507,Cosmaline,2023-11-24,2023-12-28,cash,19.27,USD,LB,8596259908
391508,Aramex,2023-11-24,2023-12-01,cash,10.275,USD,LB,8596259909
391509,Cosmaline,2023-11-24,2023-12-28,cash,15.18,USD,LB,8596259910
391510,Aramex,2023-11-24,2023-12-04,cash,6.99,USD,LB,8596259911
391511,Aramex,2023-11-24,2023-12-05,cash,6.24,USD,LB,8596259912
391512,Aramex,2023-11-24,2023-12-01,cash,15.365,USD,LB,8596259913
391513,Cosmaline,2023-11-24,2023-12-01,cash,23.97,USD,LB,8596259914
391514,Aramex,2023-11-24,2023-12-01,cash,5.41,USD,LB,8596259915
391515,Aramex,2023-11-24,2023-12-06,cash,5.41,USD,LB,8596259916
391516,Aramex,2023-11-24,2023-12-01,cash,11.935,USD,LB,8596259917
391517,Aramex,2023-11-24,2023-12-05,cash,19.19,USD,LB,8596259918
391518,Cosmaline,2023-11-24,2023-12-01,cash,24.65,USD,LB,8596259919
391519,Cosmaline,2023-11-24,2024-02-06,cash,134.52,USD,LB,8596259920
391520,Cosmaline,2023-11-24,2024-01-31,cash,68.52,USD,LB,8596259921
391521,Cosmaline,2023-11-24,2024-01-31,cash,52.925,USD,LB,8596259922
391522,Aramex,2023-11-24,2023-12-06,cash,9.825,USD,LB,8596259923
391523,Cosmaline,2023-11-24,2023-12-05,cash,44.855,USD,LB,8596259924
391524,Aramex,2023-11-24,2023-12-02,cash,15.895,USD,LB,8596259925
391525,Cosmaline,2023-11-24,2023-12-07,cash,20.46,USD,LB,8596259926
391526,Aramex,2023-11-24,2023-12-02,cash,13.04,USD,LB,8596259927
391527,Aramex,2023-11-24,2023-12-04,cash,11.26,USD,LB,8596259928
391528,Cosmaline,2023-11-24,2023-12-13,cash,50.635,USD,LB,8596259929
391529,Aramex,2023-11-24,2023-12-05,cash,10.13,USD,LB,8596259930
391530,Cosmaline,2023-11-24,2023-12-01,cash,41.22,USD,LB,8596259931
391531,Aramex,2023-11-24,2023-12-08,cash,26.16,USD,LB,8596259932
391532,Aramex,2023-11-24,2023-12-02,cash,10.715,USD,LB,8596259933
391533,Aramex,2023-11-24,2023-12-01,cash,10.63,USD,LB,8596259934
391534,Aramex,2023-11-24,2023-12-02,cash,10.44,USD,LB,8596259935
391535,Aramex,2023-11-24,2023-12-02,cash,21.775,USD,LB,8596259936
391536,Aramex,2023-11-24,2023-12-02,cash,10.675,USD,LB,8596259937
391537,Aramex,2023-11-24,2023-12-01,cash,12.15,USD,LB,8596259938
391538,Aramex,2023-11-24,2023-12-01,cash,10.23,USD,LB,8596259939
391539,Cosmaline,2023-11-24,2024-02-06,cash,41.535,USD,LB,8596259940
391540,Aramex,2023-11-24,2023-12-01,cash,10.22,USD,LB,8596259941
391541,Aramex,2023-11-24,2023-12-04,cash,9.94,USD,LB,8596259942
391542,Aramex,2023-11-24,2023-12-01,cash,16.525,USD,LB,8596259943
391543,Aramex,2023-11-24,2023-12-05,cash,10.34,USD,LB,8596259944
391544,Cosmaline,2023-11-24,2024-02-05,cash,10.36,USD,LB,8596259945
391545,Aramex,2023-11-24,2023-12-01,cash,6.525,USD,LB,8596259946
391546,Cosmaline,2023-11-24,2023-12-01,cash,16.09,USD,LB,8596259947
391547,Aramex,2023-11-24,2023-12-06,cash,15.475,USD,LB,8596259948
391548,Aramex,2023-11-24,2023-12-01,cash,14.585,USD,LB,8596259949
391549,Aramex,2023-11-24,2023-12-04,cash,13.01,USD,LB,8596259950
391550,Cosmaline,2023-11-24,2023-12-01,cash,28.415,USD,LB,8596259951
391551,Aramex,2023-11-24,2023-12-05,cash,10.045,USD,LB,8596259952
391552,Cosmaline,2023-11-24,2023-12-01,cash,25.515,USD,LB,8596259953
391553,Aramex,2023-11-24,2023-12-03,cash,18.235,USD,LB,8596259954
391554,Aramex,2023-11-24,2023-12-01,cash,2.97,USD,LB,8596259955
391555,Aramex,2023-11-24,2023-12-01,cash,12.61,USD,LB,8596259956
391556,Aramex,2023-11-24,2023-12-02,cash,4.265,USD,LB,8596259957
391557,Aramex,2023-11-24,2023-12-01,cash,11.16,USD,LB,8596259958
391558,Aramex,2023-11-24,2023-12-02,cash,13.635,USD,LB,8596259959
391559,Cosmaline,2023-11-24,2023-12-01,cash,23.75,USD,LB,8596259960
391560,Cosmaline,2023-11-24,2023-12-06,cash,41.39,USD,LB,8596259961
391561,Aramex,2023-11-24,2023-12-02,cash,2.91,USD,LB,8596259962
391562,Aramex,2023-11-24,2023-12-02,cash,13.975,USD,LB,8596259963
391563,Aramex,2023-11-24,2023-12-04,cash,10.22,USD,LB,8596259964
391564,Cosmaline,2023-11-24,2023-12-01,cash,11.965,USD,LB,8596259965
391565,Aramex,2023-11-24,2023-12-01,cash,10.37,USD,LB,8596259966
391566,Cosmaline,2023-11-24,2023-12-01,cash,22.885,USD,LB,8596259967
391567,Cosmaline,2023-11-25,2024-02-06,cash,32.585,USD,LB,8596259968
391568,Aramex,2023-11-25,2023-12-06,cash,6.87,USD,LB,8596259969
391569,Aramex,2023-11-25,2023-12-04,cash,14.99,USD,LB,8596259970
391570,Cosmaline,2023-11-25,2023-12-06,cash,14.045,USD,LB,8596259971
391571,Aramex,2023-11-25,2023-12-01,cash,15.21,USD,LB,8596259972
391572,Aramex,2023-11-25,2023-12-01,cash,21.81,USD,LB,8596259973
391573,Aramex,2023-11-25,2023-12-02,cash,5.75,USD,LB,8596259974
391574,Aramex,2023-11-25,2023-12-01,cash,7.56,USD,LB,8596259975
391575,Aramex,2023-11-25,2023-12-02,cash,7.72,USD,LB,8596259976
391576,Cosmaline,2023-11-25,2024-02-06,cash,10.66,USD,LB,8596259977
391577,Aramex,2023-11-25,2023-12-01,cash,13.285,USD,LB,8596259978
391578,Aramex,2023-11-25,2023-12-02,cybersource,19.485,USD,LB,8596259979
391579,Aramex,2023-11-25,2023-12-01,cash,7.575,USD,LB,8596259980
391580,Aramex,2023-11-25,2023-12-01,cash,6.12,USD,LB,8596259981
391581,Cosmaline,2023-11-25,2023-12-04,cash,27.375,USD,LB,8596259982
391582,Cosmaline,2023-11-25,2024-02-06,cash,24.55,USD,LB,8596259983
391583,Aramex,2023-11-25,2023-12-01,cash,10.165,USD,LB,8596259984
391584,Aramex,2023-11-25,2023-12-01,cash,8.05,USD,LB,8596259985
391585,Aramex,2023-11-25,2023-12-02,cash,12.875,USD,LB,8596259986
391586,Cosmaline,2023-11-25,2023-12-01,cash,22.93,USD,LB,8596259987
391587,Aramex,2023-11-25,2023-12-05,cash,22.955,USD,LB,8596259988
391588,Aramex,2023-11-25,2023-12-01,cash,9.86,USD,LB,8596259989
391589,Aramex,2023-11-25,2023-12-02,cash,10.975,USD,LB,8596259990
391590,Aramex,2023-11-25,2023-12-01,cash,4.725,USD,LB,8596259991
391591,Aramex,2023-11-25,2023-12-04,cash,15.46,USD,LB,8596259992
391592,Cosmaline,2023-11-25,2023-12-01,cash,120.855,USD,LB,8596259993
391593,Aramex,2023-11-25,2023-12-02,cash,14.73,USD,LB,8596259994
391594,Aramex,2023-11-25,2023-12-02,cash,7.94,USD,LB,8596259995
391595,Aramex,2023-11-25,2023-12-04,cash,14.785,USD,LB,8596259996
391596,Aramex,2023-11-25,2023-12-02,cash,6.51,USD,LB,8596259997
391597,Aramex,2023-11-25,2023-12-01,cash,7.82,USD,LB,8596259998
391598,Aramex,2023-11-25,2023-12-02,cash,11.195,USD,LB,8596259999
391599,Aramex,2023-11-25,2023-12-04,cash,6.435,USD,LB,8596260000
391600,Aramex,2023-11-25,2023-12-01,cash,15.445,USD,LB,8596260001
391601,Aramex,2023-11-25,2023-12-04,cash,10.945,USD,LB,8596260002
391602,Cosmaline,2023-11-25,2023-12-05,cash,3.855,USD,LB,8596260003
391603,Aramex,2023-11-25,2023-12-02,cash,6.11,USD,LB,8596260004
391604,Aramex,2023-11-25,2023-12-03,cash,10.86,USD,LB,8596260005
391605,Aramex,2023-11-25,2023-12-01,cash,11.625,USD,LB,8596260006
391606,Aramex,2023-11-25,2023-12-01,cash,10.735,USD,LB,8596260007
391607,Aramex,2023-11-25,2023-12-03,cash,17.645,USD,LB,8596260008
391608,Aramex,2023-11-25,2023-12-05,cash,17.49,USD,LB,8596260009
391609,Aramex,2023-11-25,2023-12-02,cash,10.42,USD,LB,8596260010
391610,Cosmaline,2023-11-25,2023-12-06,cash,45.465,USD,LB,8596260011
391611,Aramex,2023-11-25,2023-12-05,cash,16.27,USD,LB,8596260012
391612,Aramex,2023-11-25,2023-12-04,cash,4.595,USD,LB,8596260013
